"Source:","\\wsl.localhost\Ubuntu\home\asdfng\Repos\HomeServer\hardware\rpi-cm4-carrier-template\rpi-cm4-carrier-template.kicad_sch"
"Date:","2/22/2022 7:35:43 PM"
"Tool:","Eeschema (6.0.2)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","10"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Digi-Key_PN","Digi-Key_PN (Alt)","MANUFACTURER","MAXIMUM_PACKAGE_HEIGHT","MPN","MPN (Alt)","Manufacturer","PARTREV","STANDARD"
"","","CR1","SMBJ5.0A-TR","SMBJ5.0A-TR:SMBJ5.0A-TR","SMBJ5.0A-TR:SMBJ5.0A-TR","","478-7070-1-ND","","","","","","KYOCERA AVX","",""
"","","J1","USB4110-GF-A_REVB","USB4110-GF-A_REVB:USB4110-GF-A_REVB","USB4110-GF-A_REVB:GCT_USB4110-GF-A_REVB","","2073-USB4110-GF-A-1-ND","","GCT","3.26 mm","","","GCT","B","Manufacturer Recommendations"
"","","LED1","Green LED","APA2106SUCK:APA2106SURCK","APA2106SUCK:APA2106SUCK","","754-1057-1-ND","","","","","","Kingbright","",""
"","","LED2","Red LED","APA2106SUCK:APA2106SURCK","APA2106SUCK:APA2106SUCK","","754-1060-1-ND","","","","","","Kingbright","",""
"","","Module1","ComputeModule4-CM4","CM4IO:ComputeModule4-CM4","CM4IO:MUnitA","","DF40C-100DS-0.4V(58)-ND","2x H124602CT-ND","","","2x DF40C-100DS-0.4V","2x DF40HC(3.0)-100DS-0.4V","Hirose","",""
"","","R1","5.1k","ERJ-PB6B5101V:ERJ-PB6B5101V","ERJ-PB6B5101V:RESC2012X70N","","P20674CT-ND","","","","","","Panasonic Electronic Components","",""
"","","R2","1k","ERJ-PB6B5101V:ERJ-PB6B5101V","ERJ-PB6B5101V:RESC2012X70N","","P20594CT-ND","","","","","","Panasonic Electronic Components","",""
"","","R3","5.1k","ERJ-PB6B5101V:ERJ-PB6B5101V","ERJ-PB6B5101V:RESC2012X70N","","P20674CT-ND","","","","","","Panasonic Electronic Components","",""
"","","R4","1k","ERJ-PB6B5101V:ERJ-PB6B5101V","ERJ-PB6B5101V:RESC2012X70N","","P20594CT-ND","","","","","","Panasonic Electronic Components","",""
"","","U1","NLV17SZ07DFT2G","NLV17SZ07DFT2G:NLV17SZ07DFT2G","NLV17SZ07DFT2G:NLV17SZ07DFT2G","","NLV17SZ07DFT2GOSCT-ND","","","","","","onsemi","",""



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Digi-Key_PN","Digi-Key_PN (Alt)","MANUFACTURER","MAXIMUM_PACKAGE_HEIGHT","MPN","MPN (Alt)","Manufacturer","PARTREV","STANDARD"
"1","1","CR1","SMBJ5.0A-TR","SMBJ5.0A-TR:SMBJ5.0A-TR","SMBJ5.0A-TR:SMBJ5.0A-TR","","478-7070-1-ND","","","","","","KYOCERA AVX","",""
"2","1","J1","USB4110-GF-A_REVB","USB4110-GF-A_REVB:USB4110-GF-A_REVB","USB4110-GF-A_REVB:GCT_USB4110-GF-A_REVB","","2073-USB4110-GF-A-1-ND","","GCT","3.26 mm","","","GCT","B","Manufacturer Recommendations"
"3","1","LED1","Green LED","APA2106SUCK:APA2106SURCK","APA2106SUCK:APA2106SUCK","","754-1057-1-ND","","","","","","Kingbright","",""
"4","1","LED2","Red LED","APA2106SUCK:APA2106SURCK","APA2106SUCK:APA2106SUCK","","754-1060-1-ND","","","","","","Kingbright","",""
"5","1","Module1","ComputeModule4-CM4","CM4IO:ComputeModule4-CM4","CM4IO:MUnitA","","DF40C-100DS-0.4V(58)-ND","2x H124602CT-ND","","","2x DF40C-100DS-0.4V","2x DF40HC(3.0)-100DS-0.4V","Hirose","",""
"6","2","R1, R3","5.1k","ERJ-PB6B5101V:ERJ-PB6B5101V","ERJ-PB6B5101V:RESC2012X70N","","P20674CT-ND","","","","","","Panasonic Electronic Components","",""
"7","2","R2, R4","1k","ERJ-PB6B5101V:ERJ-PB6B5101V","ERJ-PB6B5101V:RESC2012X70N","","P20594CT-ND","","","","","","Panasonic Electronic Components","",""
"8","1","U1","NLV17SZ07DFT2G","NLV17SZ07DFT2G:NLV17SZ07DFT2G","NLV17SZ07DFT2G:NLV17SZ07DFT2G","","NLV17SZ07DFT2GOSCT-ND","","","","","","onsemi","",""
